Año ,Mes,Dia ,Hora,Velocidad ,Direccion  
2016,9,12,16,4.27,236
2016,9,12,17,3.32,239
2016,9,12,18,3.33,230
2016,9,12,19,3.22,359
2016,9,12,20,2.77,326
2016,9,12,21,3.08,227
2016,9,12,22,3.55,234
2016,9,12,23,3.84,233
2016,9,12,24,2.8,28
2016,9,13,1,7.46,211
2016,9,13,2,3.45,256
2016,9,13,3,3.55,224
2016,9,13,4,3.12,217
2016,9,13,5,3.65,257
2016,9,13,6,3.17,244
2016,9,13,7,3.53,213
2016,9,13,8,3.55,211
2016,9,13,9,3.16,250
2016,9,13,10,3.67,221
2016,9,13,11,3.68,346
2016,9,13,12,3.17,253
2016,9,13,13,3.27,228
2016,9,13,14,3.3,233
2016,9,13,15,3.32,223
2016,9,13,16,3.37,123
2016,9,13,17,3.32,219
2016,9,13,18,3.45,250
2016,9,13,19,3.53,237
2016,9,13,20,3.98,233
2016,9,13,21,4.07,210
2016,9,13,22,4.31,72
2016,9,13,23,3.82,49
2016,9,13,24,3.97,268
2016,9,14,1,4.21,221
2016,9,14,2,4.13,257
2016,9,14,3,3.79,230
2016,9,14,4,3.58,225
2016,9,14,5,3.47,239
2016,9,14,6,3.75,221
2016,9,14,7,4.01,27
2016,9,14,8,3.55,73
2016,9,14,9,4.03,235
2016,9,14,10,3.49,231
2016,9,14,11,3.51,249
2016,9,14,12,3.23,58
2016,9,14,13,4.11,232
2016,9,14,14,13.6,88
2016,9,14,15,4.07,68
2016,9,14,16,4.33,252
2016,9,14,17,3.59,248
2016,9,14,18,3.49,237
2016,9,14,19,3.17,218
2016,9,14,20,2.53,225
2016,9,14,21,3.57,222
2016,9,14,22,3.9,233
2016,9,14,23,4.46,239
2016,9,14,24,3.65,252
2016,9,15,1,3.78,261
2016,9,15,2,3.65,23
2016,9,15,3,3.73,235
2016,9,15,4,3.4,226
2016,9,15,5,3.71,284
2016,9,15,6,4.21,244
2016,9,15,7,3.38,239
2016,9,15,8,3.47,255
2016,9,15,9,3.43,230
2016,9,15,10,3.65,65
2016,9,15,11,4.37,232
2016,9,15,12,4.42,221
2016,9,15,13,3.95,231
2016,9,15,14,3.53,210
2016,9,15,15,4.23,238
2016,9,15,16,3.7,236
2016,9,15,17,4.03,18
2016,9,15,18,3.26,232
2016,9,15,19,3.83,260
2016,9,15,20,3.2,241
2016,9,15,21,3.73,239
2016,9,15,22,2.77,256
2016,9,15,23,2.95,216
2016,9,15,24,3.74,259
2016,9,16,1,3.98,213
2016,9,16,2,4.09,200
2016,9,16,3,3.73,255
2016,9,16,4,3.38,283
2016,9,16,5,3.64,232
2016,9,16,6,3.33,266
2016,9,16,7,3.82,258
2016,9,16,8,2.88,317
2016,9,16,9,2.58,359
2016,9,16,10,2.57,222
2016,9,16,11,3.27,219
2016,9,16,12,3.11,258
2016,9,16,13,2.31,239
2016,9,16,14,2.34,93
2016,9,16,15,3.52,280
2016,9,16,16,3.4,240
2016,9,16,17,3.3,258
2016,9,16,18,3.33,251
2016,9,16,19,3.07,275
2016,9,16,20,3.33,49
2016,9,16,21,4.14,230
2016,9,16,22,3.88,217
2016,9,16,23,3.08,257
2016,9,16,24,3.09,98
2016,9,17,1,3.84,238
2016,9,17,2,3.86,265
2016,9,17,3,3.86,230
2016,9,17,4,3.8,220
2016,9,17,5,4.22,219
2016,9,17,6,4.41,249
2016,9,17,7,3.23,238
2016,9,17,8,4.07,238
2016,9,17,9,3.85,236
2016,9,17,10,3.5,243
2016,9,17,11,3.37,232
2016,9,17,12,3.79,230
2016,9,17,13,4.19,240
2016,9,17,14,4.58,270
2016,9,17,15,4.04,242
2016,9,17,16,3.58,225
2016,9,17,17,3.15,253
2016,9,17,18,2.39,211
2016,9,17,19,2.6,185
2016,9,17,20,3.95,228
2016,9,17,21,2.13,260
2016,9,17,22,3.46,349
2016,9,17,23,3.28,45
2016,9,17,24,3.67,247
2016,9,18,1,3.25,209
2016,9,18,2,3.86,228
2016,9,18,3,2.37,19
2016,9,18,4,2.41,1
2016,9,18,5,3.18,45
2016,9,18,6,1.7,345
2016,9,18,7,1.89,20
2016,9,18,8,3.38,172
2016,9,18,9,4.18,201
2016,9,18,10,3.64,233
2016,9,18,11,3.69,71
2016,9,18,12,3.49,231
2016,9,18,13,2.92,325
2016,9,18,14,3.15,359
2016,9,18,15,2.82,234
2016,9,18,16,3.23,23
2016,9,18,17,2.9,31
2016,9,18,18,2.08,
2016,9,18,19,2.86,46
2016,9,18,20,3.62,213
2016,9,18,21,2.65,35
2016,9,18,22,3.22,9
2016,9,18,23,1.24,293
2016,9,18,24,2.46,64
2016,9,19,1,3.94,40
2016,9,19,2,3.23,247
2016,9,19,3,3.12,223
2016,9,19,4,3.15,238
2016,9,19,5,3.31,233
2016,9,19,6,3.48,238
2016,9,19,7,3.1,27
2016,9,19,8,3.4,217
2016,9,19,9,3.36,240
2016,9,19,10,3.37,260
2016,9,19,11,3.21,228
2016,9,19,12,3.12,240
2016,9,19,13,2.9,229
2016,9,19,14,3.19,239
2016,9,19,15,2.82,44
2016,9,19,16,3.83,235
